,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
284,2020-02-18,DE-ST,71.24211,4710643.543582,2407932.501563,6.406586000000004,0.001638,4.363001,6.503422
285,2020-02-18,DE-TH,72.960391,5039655.044244,2345461.298644,5.120702000000051,0.001513,4.940057,7.173854
324,2020-02-19,DE-BB,79.759939,1639041.604883,2413970.93127,5.042659000000015,0.005639,2.734622,5.531977
325,2020-02-19,DE-BE,80.905857,1589213.621503,2418611.515734,5.304482000000007,0.00594,3.433566,6.232372
326,2020-02-19,DE-BW,74.558084,3893161.261786,2316167.744396,3.589142000000038,0.006042,5.370927,5.593455
327,2020-02-19,DE-BY,76.193136,2242221.746317,2296165.421507,2.7996459999999956,0.005283,4.515465,5.008552
328,2020-02-19,DE-HB,81.516506,2931803.695513,2428527.320513,5.402563000000043,0.005619,3.25641,7.044605
329,2020-02-19,DE-HE,74.561807,3704446.565534,2356811.908392,4.060749000000044,0.005771,4.280845,5.774524
330,2020-02-19,DE-HH,82.584596,2604688.414773,2420893.861742,5.314513000000034,0.005407,3.166667,6.286806
331,2020-02-19,DE-MV,81.333444,2413389.283107,2416154.474398,5.2307160000000295,0.004261,2.896068,5.995393
332,2020-02-19,DE-NI,80.279185,3348160.011239,2413550.358004,4.876781000000051,0.005042,3.276629,6.110318
333,2020-02-19,DE-NW,77.782108,3591988.618549,2391110.512677,4.517526000000032,0.006026,4.887537,5.712457
334,2020-02-19,DE-RP,76.26004,4486802.019437,2357036.199028,4.267307000000017,0.005442,5.554939,5.851461
335,2020-02-19,DE-SH,83.799158,3038921.924765,2420074.658512,5.409821000000022,0.004894,3.899017,6.630302
336,2020-02-19,DE-SL,78.645607,4714542.19837,2361983.222147,4.465431000000024,0.007243,5.701087,6.501268
337,2020-02-19,DE-SN,75.28001,1389678.071705,2354536.874682,3.883732000000009,0.004273,3.568336,6.276305
338,2020-02-19,DE-ST,74.637888,2692556.908146,2400936.614196,5.190385000000049,0.004746,3.795513,5.902899
339,2020-02-19,DE-TH,75.15203,2177398.70088,2337399.144505,3.6079090000000065,0.004934,4.046622,6.228304
