date,iso3166-2,region_code,confirmed_addition,deceased_addition,population,cases_pc,deaths_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-03-04,DE-HH,Hamburg,1,0,1841179,5.431302442619648e-07,0.0,86.168335,2510781.964962,2410952.780303,3.820617000000027,0.000469,4.090909,2.823611
2020-03-04,DE-HE,Hessen,2,0,6265809,3.191926214156863e-07,0.0,85.319541,2659860.787143,2338333.03279,2.6538570000000163,0.001426,5.653575,3.035265
2020-03-04,DE-MV,Mecklenburg-Vorpommern,2,0,1609675,1.2424868374050662e-06,0.0,85.044236,2935603.364485,2408367.366733,3.66551800000002,0.000324,3.997867,3.429064
2020-03-04,DE-NI,Niedersachsen,4,0,7982448,5.010994121101697e-07,0.0,87.035818,3057380.583607,2400248.285088,3.6458170000000223,0.001371,4.870601,2.845434
2020-03-04,DE-NW,Nordrhein-Westfalen,91,1,17932651,5.074542520233066e-06,5.5764203519044675e-08,81.779309,3361101.550203,2372358.155229,4.498952000000031,0.001886,5.990534,3.168718
2020-03-04,DE-RP,Rheinland-Pfalz,4,0,4084844,9.792295617653943e-07,0.0,85.368464,2951019.462713,2335287.319913,3.4146760000000427,0.001866,6.385561,3.234689
2020-03-05,DE-BW,Baden-Württemberg,36,0,11069533,3.252169716644776e-06,0.0,87.311168,157448.630193,2260365.307026,4.5145820000000185,0.013049,5.339727,3.918937
2020-03-05,DE-BY,Bayern,19,1,13076721,1.4529636290320792e-06,7.64717699490568e-08,81.567289,2141266.114787,2248905.829545,3.156304000000034,0.007179,6.013324,3.175217
2020-03-05,DE-BE,Berlin,10,0,3644826,2.7436151958968686e-06,0.0,71.595219,7470545.555944,2391672.326923,5.440674999999999,9.4e-05,9.678322,3.672786
2020-03-05,DE-BB,Brandenburg,2,0,2511917,7.962046516664364e-07,0.0,73.288751,6975351.833919,2386858.400452,4.971277000000043,0.000285,8.811198,3.262604
2020-03-05,DE-HH,Hamburg,5,0,1841179,2.7156512213098236e-06,0.0,76.590812,5058920.719697,2392394.399621,5.180461000000037,0.000391,7.106061,3.441477
2020-03-05,DE-HE,Hessen,6,0,6265809,9.575778642470589e-07,0.0,87.721624,470226.632,2306695.708688,4.020119000000022,0.012322,4.375324,4.033066
2020-03-05,DE-MV,Mecklenburg-Vorpommern,1,0,1609675,6.212434187025331e-07,0.0,82.033396,4707542.32833,2395258.854922,4.455184000000031,0.000276,5.46876,3.024124
2020-03-05,DE-NI,Niedersachsen,6,0,7982448,7.516491181652546e-07,0.0,78.469043,4011155.429825,2376608.858004,4.9879190000000335,0.002353,6.164747,3.616195
2020-03-05,DE-NW,Nordrhein-Westfalen,97,0,17932651,5.409127741347334e-06,0.0,86.74279,802105.034825,2339963.294005,4.794869000000006,0.009979,4.425062,3.805803
2020-03-05,DE-RP,Rheinland-Pfalz,1,0,4084844,2.4480739044134857e-07,0.0,93.500833,9293.674625,2298077.866918,4.780542000000025,0.015747,4.760016,3.8803
2020-03-05,DE-SH,Schleswig-Holstein,1,0,2896712,3.452189931204759e-07,0.0,87.665483,3915754.273905,2396918.757038,3.97885500000001,0.000472,5.117069,3.679949
2020-03-06,DE-BW,Baden-Württemberg,51,2,11069533,4.607240431913433e-06,1.8067609536915424e-07,83.596962,750395.151817,2263898.670441,4.216953000000046,0.008589,5.749018,7.152081
2020-03-06,DE-BY,Bayern,51,0,13076721,3.900060267401897e-06,0.0,80.913163,3656105.220108,2243895.147727,4.685045000000002,0.004322,5.667261,6.105854
2020-03-06,DE-BE,Berlin,5,0,3644826,1.3718075979484343e-06,0.0,92.305156,683928.99257,2370905.108392,5.328327000000002,0.004924,5.0,3.946416
2020-03-06,DE-HH,Hamburg,3,1,1841179,1.6293907327858942e-06,5.431302442619648e-07,85.060829,7613.70449,2381368.954545,4.4365830000000415,0.009128,4.136364,4.800568
2020-03-06,DE-HE,Hessen,1,0,6265809,1.5959631070784315e-07,0.0,88.307433,191042.521663,2301927.1608,4.371415000000013,0.008047,4.89811,5.425946
2020-03-06,DE-NI,Niedersachsen,7,0,7982448,8.76923971192797e-07,0.0,90.143897,41778.576071,2368459.718202,4.165644000000043,0.010749,4.135711,4.698517
2020-03-06,DE-NW,Nordrhein-Westfalen,62,1,17932651,3.45738061818077e-06,5.5764203519044675e-08,90.494013,284105.087903,2340487.947825,4.086680000000001,0.00696,4.607843,4.272917
2020-03-06,DE-RP,Rheinland-Pfalz,2,0,4084844,4.896147808826971e-07,0.0,88.603823,372349.258941,2303382.431376,4.42850500000003,0.008452,5.02856,5.663738
2020-03-06,DE-SN,Sachsen,2,0,4077937,4.904440652221945e-07,0.0,82.836018,3999506.202886,2302759.402377,5.299757999999997,0.0044,5.136672,5.227197
2020-03-06,DE-SH,Schleswig-Holstein,2,0,2896712,6.904379862409518e-07,0.0,86.955167,64028.679976,2388220.226765,4.529379000000006,0.005407,4.386953,6.166547
2020-03-07,DE-BW,Baden-Württemberg,32,1,11069533,2.890817525906468e-06,9.033804768457712e-08,79.722046,5709103.648428,2307544.002196,3.050612000000001,0.002052,7.158077,3.521419
2020-03-07,DE-BY,Bayern,20,0,13076721,1.529435398981136e-06,0.0,82.821038,5024846.817761,2287035.316288,2.6303379999999947,0.002932,6.101951,4.002114
