date,iso3166-2,region_code,confirmed_addition,population,cases_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-11-10,SE-T,Örebro,195,304805,0.0006397532848870589,90.850831,73966.122909,2433945.643842,4.846825000000024,0.001072,0.0,1.101179
2020-11-09,SE-T,Örebro,84,304805,0.0002755860304128869,90.846992,442624.813868,2428851.280148,4.915187000000003,0.000141,0.0,1.458181
2020-11-08,SE-T,Örebro,147,304805,0.00048227555322255213,92.065695,225533.141063,2416956.382777,6.33404900000005,0.000186,0.0,1.284362
2020-11-07,SE-T,Örebro,185,304805,0.00060694542412362,89.080019,130929.261052,2406677.393682,8.804497000000026,0.00044,0.0,3.717559
2020-11-06,SE-T,Örebro,212,304805,0.0006955266481849051,83.464933,2362143.616822,2412887.030629,9.809514000000036,0.0,0.0,2.995384
2020-11-05,SE-T,Örebro,246,304805,0.0008070733747805975,80.220076,2297967.323044,2395382.889513,8.124076000000002,0.0,0.0,4.62175
2020-11-04,SE-T,Örebro,152,304805,0.0004986794836042716,88.220404,848214.918898,2394723.220013,5.531540000000007,0.000186,0.0,2.898861
2020-11-03,SE-T,Örebro,122,304805,0.0004002559013139548,82.963678,1887486.047065,2377519.018602,8.450581,4.1e-05,0.0,4.55809
2020-11-02,SE-T,Örebro,161,304805,0.0005282065582913666,91.080562,8727.05052,2341249.903624,12.316461000000004,0.008953,0.0,6.212003
2020-11-01,SE-T,Örebro,153,304805,0.0005019602696806155,94.2385,6469.358581,2375935.638871,9.267690000000016,0.003026,0.0,4.344299
2020-10-31,SE-T,Örebro,122,304805,0.0004002559013139548,96.081774,98481.637818,2400863.943554,6.372848000000033,0.001301,0.0,2.472269
2020-10-30,SE-T,Örebro,221,304805,0.0007250537228720001,95.084771,373211.995851,2392539.757537,4.656908000000044,0.000194,0.0,1.266506
2020-10-29,SE-T,Örebro,131,304805,0.00042978297600104986,90.934536,1085249.749639,2370568.546825,6.581198000000029,0.000179,1.091084,2.092327
2020-10-28,SE-T,Örebro,125,304805,0.0004100982595429865,92.056939,308270.004219,2359048.592046,7.387078000000031,0.003119,0.0,3.63452
2020-10-27,SE-T,Örebro,116,304805,0.00038057118485589146,90.639474,1004491.963959,2359056.913246,8.098343999999997,0.001478,1.893521,3.023335
2020-10-26,SE-T,Örebro,132,304805,0.00043306376207739373,94.203162,382399.885504,2361006.043297,9.085991000000035,0.007029,0.080821,1.76451
2020-10-25,SE-T,Örebro,84,304805,0.0002755860304128869,95.23983,15977.166751,2361045.071199,8.73025100000001,0.007309,0.0,3.535268
2020-10-24,SE-T,Örebro,130,304805,0.00042650218992470594,94.712474,441225.314489,2367120.976908,3.920524999999998,0.004504,0.085311,2.280209
2020-10-23,SE-T,Örebro,93,304805,0.00030511310509998197,90.376194,2579659.639072,2365446.010263,3.678145000000029,0.002176,1.956382,2.053966
2020-10-22,SE-T,Örebro,100,304805,0.0003280786076343892,94.186596,41059.09839,2347040.328255,10.30763300000001,0.012757,0.056446,3.219158
2020-10-21,SE-T,Örebro,71,304805,0.00023293581142041632,95.228344,71420.715173,2363041.095093,8.989857000000029,0.004194,0.006414,2.183708
2020-10-20,SE-T,Örebro,86,304805,0.0002821476025655747,90.681829,3807.977807,2389575.292816,3.0373590000000377,0.007315,0.051956,2.318521
2020-10-19,SE-T,Örebro,44,304805,0.00014435458735913124,65.787094,4566527.920462,2390952.260263,2.6013110000000097,0.0,4.0,3.039064
2020-10-18,SE-T,Örebro,34,304805,0.00011154672659569232,57.274855,4441128.847338,2373973.237011,4.104147000000012,3.8e-05,4.005773,4.386826
2020-10-17,SE-T,Örebro,64,304805,0.00020997030888600908,83.127563,2766430.760824,2391377.117704,5.549771000000021,0.000271,3.694035,2.631756
2020-10-16,SE-T,Örebro,55,304805,0.00018044323419891405,81.073953,2309604.619067,2416077.510584,5.581529000000046,0.000157,3.243105,1.857235
2020-10-15,SE-T,Örebro,41,304805,0.00013451222913009957,80.290138,3357261.848942,2415407.484606,5.2222960000000285,1.9e-05,5.032713,2.385568
2020-10-14,SE-T,Örebro,53,304805,0.00017388166204622627,77.952935,1908689.312861,2421759.518922,4.788620000000037,2e-05,3.732521,3.677298
2020-10-13,SE-T,Örebro,45,304805,0.00014763537343547513,84.40996,1687344.730997,2408640.719532,4.716813000000002,3e-06,4.006414,1.960004
2020-10-12,SE-T,Örebro,39,304805,0.00012795065697741178,86.780863,1221894.351066,2387561.154747,6.112930000000006,0.000149,5.420783,1.914897
2020-10-11,SE-T,Örebro,36,304805,0.00011810829874838011,94.465679,1851141.727169,2385154.801796,5.955997000000025,0.003911,0.635664,2.229843
2020-10-10,SE-T,Örebro,38,304805,0.0001246698709010679,93.155547,319540.913747,2382634.063342,7.410342000000014,0.006086,2.950609,2.124503
2020-10-09,SE-T,Örebro,33,304805,0.00010826594051934843,80.053647,4565583.564144,2374679.105356,9.592664000000013,0.00232,5.371392,3.933304
2020-10-08,SE-T,Örebro,61,304805,0.0002001279506569774,90.736205,1666139.912674,2372080.365298,10.969328000000019,0.004587,3.136626,2.888141
2020-10-07,SE-T,Örebro,28,304805,9.186201013762897e-05,91.305956,2356869.947723,2364407.78592,11.557980000000043,0.0022,4.357922,2.176243
2020-10-06,SE-T,Örebro,37,304805,0.000121389084824724,95.634733,1645.688103,2354171.967447,11.227440000000001,0.016453,4.114817,2.926988
